
2025/10/17 (06:43:26) | ===> btop++ v.1.3.0
2025/10/17 (06:45:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:45:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:45:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:45:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:45:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:24) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:26) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:32) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:34) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:36) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:38) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:40) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:42) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:44) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:46) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:50) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
